"Metabolite","Weight","Direction","Rank","Stability"
"13481",0.0106638010876987,"Positive",1651,0.9
"18656",0.0106574913238779,"Positive",1652,1
"86105",0.0106402091557151,"Positive",1653,1
"46282",-0.0106280209610779,"Negative",1654,1
"10874",0.0106107013127244,"Positive",1655,1
"14948",-0.0106041630668892,"Negative",1656,1
"34283",-0.0105939943511673,"Negative",1657,1
"85728",0.0105890036221635,"Positive",1658,1
"7071",-0.0105824198169936,"Negative",1659,1
"89228",0.0105589512326755,"Positive",1660,1
"22980",-0.0105462865037754,"Negative",1661,1
"6850",-0.010538114590885,"Negative",1662,0.8
"50049",-0.0105372943474445,"Negative",1663,1
"8217",-0.0105285000885771,"Negative",1664,0.9
"44824",0.0105244029091993,"Positive",1665,0.9
"41051",0.0105219736079291,"Positive",1666,0.9
"10384",-0.0105203275665096,"Negative",1667,0.9
"90381",0.0105029334887873,"Positive",1668,1
"7312",-0.0104555831006671,"Negative",1669,0.9
"21043",0.0104540129608777,"Positive",1670,0.9
"42361",0.0104515104315587,"Positive",1671,1
"68878",0.0104471119684428,"Positive",1672,1
"20006",0.0104402272989875,"Positive",1673,1
"25528",0.0104332988615899,"Positive",1674,0.8
"49908",0.0104249368517937,"Positive",1675,1
"67540",-0.0104231618926277,"Negative",1676,1
"9303",-0.0104226388889833,"Negative",1677,0.9
"71772",-0.0104195986683722,"Negative",1678,1
"85468",0.010410155708851,"Positive",1679,1
"32488",-0.0104044158990766,"Negative",1680,1
"45855",-0.0103992528707345,"Negative",1681,0.9
"50544",-0.0103924270151346,"Negative",1682,1
"25520",0.0103910006281543,"Positive",1683,0.9
